,Unnamed: 0_x,Bike Stop #,name_x,distance,venue_type,Unnamed: 0_y,name_y,latitude,longitude,free_bikes,empty_slots
174,174,142,Museu de Zoologia,198.0,Science Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
175,175,142,Gas Natural Fenosa,172.0,Art Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
176,176,142,Museu de Ciencies Naturals,198.0,Museum,142,"C/ REINA VICTORIA, 31",41.3969455,2.136346,3,24
177,177,143,,,[],143,"C/ ENTENÇA, 137",41.381951,2.147474,12,25
178,178,144,,,[],144,"C/ NUMÀNCIA, 2",41.381219,2.141767,0,22
179,179,145,,,[],145,"AV. DIAGONAL,  612",41.392567,2.1422174,0,23
180,180,146,,,[],146,PL. VIRREI AMAT,41.4296439,2.174444,18,13
181,181,147,,,[],147,"C/ DE MALADETA, 1",41.4315843,2.1769107,14,4
182,182,148,,,[],148,PL. PAU VILA (D),41.381046,2.186576,23,20
183,183,149,Museu d'Història de Catalunya,61.0,Museum,149,"RAMBLA PRIM, 79",41.416043,2.2124993,18,15
184,184,150,,,[],150,"C/ VALLESPIR, 130",41.3821371,2.1354149,9,17
185,185,151,,,[],151,C/ ARAGÓN 147,41.3847528,2.1546746,12,6
186,186,152,,,[],152,PL. VICENÇ MARTORELL,41.3842634,2.1692556,9,9
187,187,153,Museu de les Il·lusions,161.0,Museum,153,"C/ CASP, 67",41.3937234,2.1764275,16,15
188,188,153,MUHBA Casa de l'Aigua,149.0,Museum,153,"C/ CASP, 67",41.3937234,2.1764275,16,15
189,189,154,,,[],154,"C/ DIPUTACIÓ, 272",41.39161170092347,2.1689031978751205,0,26
190,190,155,Armeria Ravell,29.0,Museum,155,"C/ RIBES, 77",41.4001015,2.1841711,20,5
191,191,156,Museu de la Música,189.0,History Museum,156,"C/ ARAGÓ, 614",41.4095069,2.1885055,15,3
192,192,157,,,[],157,"C/ MARQUÈS DE SENTMENAT, 46",41.384972,2.1376205,2,30
193,193,158,,,[],158,"C/ SARDENYA, 326",41.4039698,2.1729061,6,23
194,194,159,Museu Basilica de la Sagrada Familia,141.0,Museum,159,"C/ LLULL, 465",41.4132316,2.2177652,25,6
195,195,159,Museu del Temple Expiatori de la Sagrada Familia,190.0,Museum,159,"C/ LLULL, 465",41.4132316,2.2177652,25,6
196,196,160,,,[],160,"C/ MÚRCIA, 64",41.4166982,2.1909952,11,16
197,197,161,,,[],161,"AV. PARAL.LEL, 54",41.3751145,2.1709386,11,5
198,198,162,,,[],162,"C/ FERNANDO PESSOA, 41",41.4420913,2.1928992,13,13
199,199,163,,,[],163,"C/ BAC DE RODA, 157",41.4113024,2.1987258,17,4
200,200,164,,,[],164,"C/ FULTON, 1",41.4297231,2.1617032,2,18
201,201,165,,,[],165,"C/ SANT ADRIÀ, 43",41.4352071,2.1948002,9,15
202,202,166,,,[],166,"C/ PERE IV,  301 / FLUVIÀ",41.4093405,2.2024461,14,13
203,203,167,Muhba Oliva Artés,138.0,History Museum,167,SEU DEL DISTRICTE (NOU BARRIS),41.4363473,2.1706752,2,21
204,204,168,,,[],168,"C/ PROVENÇA, 322",41.3967524,2.1646338,1,19
205,205,169,Casa Terrades,139.0,Monument,169,"C/ ROSSELLÓ, 557",41.4110754,2.1809764,32,0
206,206,170,,,[],170,"C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA",41.4364887,2.1841014,2,29
207,207,171,,,[],171,"AV. MARQUÉS DE  L'ARGENTERA, 15",41.384844,2.185085,5,22
208,208,172,MUHBA Santa Caterina,74.0,Museum,172,"GRAN VIA DE LES CORTS CATALANES, 1157 (D)",41.4194972,2.20934,23,29
209,209,172,Suau,170.0,Art Museum,172,"GRAN VIA DE LES CORTS CATALANES, 1157 (D)",41.4194972,2.20934,23,29
210,210,173,,,[],173,"GRAN VIA DE LES CORTS CATALANES, 902",41.4075013,2.1930174,13,2
211,211,174,,,[],174,RAMBLA CATALUNYA/DIPUTACIO,41.3896967,2.1652199,0,23
212,212,175,Museo Adidas & Messi,137.0,Museum,175,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,15,12
213,213,175,Museu del Modernisme Català,176.0,Art Museum,175,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,15,12
214,214,175,Museu del Perfum,168.0,History Museum,175,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,15,12
215,215,175,Casa Lleó i Morera,179.0,Monument,175,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,15,12
216,216,176,,,[],176,"C/ ARAGÓ, 659 /NAVAS DE TOLOSA",41.4120681,2.1907524,22,4
217,217,177,,,[],177,"AV. MARQUÉS DE L'ARGENTERA,  3",41.383597,2.184171,13,7
218,218,178,Capella del Santissim Sacrament,163.0,Museum,178,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",41.3838369,2.1914756,4,21
219,219,178,MUHBA Santa Caterina,137.0,Museum,178,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",41.3838369,2.1914756,4,21
220,220,178,Real Academia de Bellas Artés de San Jorge,192.0,Art Museum,178,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",41.3838369,2.1914756,4,21
221,221,178,Suau,165.0,Art Museum,178,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",41.3838369,2.1914756,4,21
222,222,179,La Fábrica del Sol,165.0,Museum,179,"AV. RIO DE JANEIRO, 96",41.439692,2.182335,6,18
223,223,179,Gas Natural Fenosa,126.0,Art Museum,179,"AV. RIO DE JANEIRO, 96",41.439692,2.182335,6,18
224,224,180,,,[],180,"C/ DEL COMTE D'URGELL, 75 B",41.3830299,2.1571646,8,17
225,225,181,,,[],181,"C/ ROCAFORT, 187",41.38322238887374,2.147993191629656,7,18
226,226,182,,,[],182,"C/ SANTA AMÈLIA, 2",41.3935355,2.1231228,0,27
227,227,183,,,[],183,"AV. JOAN XXIII, 17",41.383467,2.122175,4,16
228,228,184,Museu de la Farmàcia Catalana,149.0,Science Museum,184,"C/ GRAN CAPITÀ, 9",41.3881262,2.1091535,2,26
229,229,185,,,[],185,"C/ NOU DE LA RAMBLA, 164",41.3719688,2.1667829,22,5
230,230,186,Museu d'Història de Barcelona - Centre d'Interpretació Històrica del Refugi 307,29.0,Museum,186,"C/ COMTE BORRELL, 198",41.3854003,2.1521802,7,19
231,231,186,Refugi 307,48.0,Monument,186,"C/ COMTE BORRELL, 198",41.3854003,2.1521802,7,19
232,232,187,,,[],187,"LA RAMBLA, 2 (MUSEO DE CERA)",41.377187,2.176757,23,2
233,233,188,Museo de Cera de Barcelona - MUCESA,41.0,Art Museum,188,"C/ PALLARS, 504",41.4140598,2.2150487,17,7
234,234,188,Wax museum,44.0,Art Museum,188,"C/ PALLARS, 504",41.4140598,2.2150487,17,7
235,235,188,Museo Marítimo de Barcelona,173.0,Art Museum,188,"C/ PALLARS, 504",41.4140598,2.2150487,17,7
236,236,188,Columbus Monument,172.0,Art Museum,188,"C/ PALLARS, 504",41.4140598,2.2150487,17,7
237,237,188,Arts Santa Mònica,61.0,Art Gallery,188,"C/ PALLARS, 504",41.4140598,2.2150487,17,7
238,238,188,Galería Ferrán Cano,911.0,Art Gallery,188,"C/ PALLARS, 504",41.4140598,2.2150487,17,7
239,239,189,,,[],189,"C/ CÒRSEGA, 216",41.3917666,2.1532163,18,14
240,240,190,Guides & Culture,192.0,Museum,190,"C / GIRONA, 176",41.3999967,2.1644531,1,23
241,241,191,,,[],191,"C/ GALLEGO, 2",41.3785631,2.1202487,15,8
242,242,192,,,[],192,"C/ CAPONATA, 20",41.3953855,2.1210928,2,25
243,243,193,Museu Etnogràfic Andino - Amazònic,165.0,History Museum,193,"C/ DE LES ESCOLES PIES, 99",41.4029965,2.1283866,1,25
244,244,194,,,[],194,"C/ MIREIA, 28",41.4513863,2.1894717,7,8
245,245,195,,,[],195,"C/ DOCTOR AIGUADER, 2",41.382335,2.187093,5,10
246,246,196,Museu d'Història de Catalunya,203.0,Museum,196,"AV. LITORAL, 172",41.3919877,2.2037136,18,34
247,247,197,,,[],197,"270 - CRTA. DE RIBES, 77 (TRINITAT VELLA)",41.4486328,2.1898372,12,15
248,248,198,,,[],198,"C/ CANTÀBRIA, 55",41.4224015,2.198071,6,17
249,249,199,,,[],199,"C/ CONCEPCIÓ ARENAL, 281",41.4325013,2.1842021,16,9
250,250,200,,,[],200,"C/ DURAN I BAS, 2",41.3854094,2.1740155,12,12
