,name,latitude,longitude,free_bikes,empty_slots
277,"C/ RAMON TRIAS FARGAS, 21",41.3902194,2.1904003,25,22
278,"C/ SANT RAMON DE PENYAFORT, 1",41.4134833,2.2206913,30,22
279,"C/ GRAN DE LA SAGRERA, 74",41.4230551,2.1913753,16,10
280,"PG. DE GARCIA FÀRIA, 85",41.4053649,2.2162094,8,19
281,SELVA DE MAR / PG. DEL TAULAT,41.4053697,2.2135818,23,3
282,"C/ JOAN MIRÓ, 2-12",41.3890253,2.1968267,11,20
283,"C/ BAILÉN, 100",41.396994,2.1706323,4,28
284,"PL. CATALUNYA, 10-11 (PG. DE GRÀCIA)",41.387696,2.1696543,0,18
285,"C/ GRAN DE GRÀCIA, 91",41.4006862,2.1543317,0,19
286,"C/ BAC DE RODA, 11",41.4023354,2.2105777,16,5
287,"AV. ROMA,  136",41.3852585,2.155089,7,13
288,"AV. DOCTOR MARAÑON, 25 | C/ PAU GARGALLO",41.383585,2.112186,4,23
289,"C/ RIUS I TAULET, 4",41.3727426,2.1539198,15,12
290,"RAMBLA DE GUIPÚSCOA, 103 /CANTÀBRIA",41.4200135,2.2016699,10,13
291,PL.VALENTÍ ALMIRALL,41.4084796,2.192042,19,5
292,"AV. MARQUÉS DE L'ARGENTERA,13",41.384546,2.184922,11,14
293,"C/ INDÚSTRIA, 329",41.4172922,2.1844769,24,1
294,"C/ MÚRCIA, 1",41.4143392,2.1874539,12,8
295,"PG. D'ENRIC SANCHIS, 33",41.4339212,2.2062245,18,8
296,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",41.4025392,2.1524704,2,20
297,"C/ ALEXANDRE GALÍ, 1-5",41.4239719,2.1812399,24,2
298,"C/ SARDENYA, 292",41.4016969,2.175767,16,2
299,"C/ MAS CASANOVAS, 137",41.4158995,2.1745567,5,21
300,PL. UNIVERSITAT,41.385503,2.1634768,1,21
301,PL. UNIVERSITAT /  ARIBAU,41.3856474,2.1634306,1,26
302,"C/ CUBELLES, 2",41.426078,2.1751572,19,8
303,"C/ HONDURAS, 32-34",41.4202459,2.1894852,17,13
304,PL. POETA BOSCÀ | C/ ATLÀNTIDA,41.379326,2.189906,8,14
305,"PG. VALLDAURA, 26",41.4374904,2.1565742,15,12
306,"C/ NÀPOLS, 183",41.3981669,2.1754896,3,22
307,"C/ VIRIAT, 43",41.3806074,2.1408633,5,13
308,"C/ JOAN GÜELL, 174",41.3839045,2.1312876,3,20
309,"CARRER DEL CINCA, 7",41.4356895,2.1920873,4,21
310,"C/ DIPUTACIÓ, 373",41.3968391,2.1756598,6,20
311,"C/ WATT, 2",41.3754426,2.1398409,13,3
312,"C/ ALT DE GIRONELLA, 13",41.3949601,2.1302775,2,20
313,"C/ PAU ALCOVER, 94",41.401883,2.131524,4,23
314,"AV. CAN MARCET, 36",41.4347859,2.147904,10,17
315,"PG. UNIVERSAL, 29 | C/ DOCTOR LETAMENDI",41.4372022,2.1620235,2,17
316,"PG. VALL D'HEBRÓN, 80",41.419965,2.1401823,5,19
317,"C/ SANT FRANCESC XAVIER, 1",41.4417001,2.1781553,4,13
318,"C/ PALAMÓS, 33",41.446923,2.184857,8,20
319,"C/ VILADOMAT, 200",41.384810211467105,2.1508071246452154,5,18
320,"C/ FLORIDABLANCA, 49",41.3776721,2.157233,12,7
321,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",41.400654,2.210191,3,24
322,PG.DE COLOM (LES RAMBLES),41.376433,2.17871,18,20
323,"C/ SARDENYA,  178",41.3967169,2.1825085,12,26
324,"C/ CIUTAT DE GRANADA, 168 | AV. DIAGONAL",41.404511,2.189881,0,20
325,"C/ INDEPENDÈNCIA, 379",41.4118378,2.1778852,9,16
326,"C/ PROVENÇA, 445",41.4048623,2.174799,7,6
327,"C/ GÒNGORA, 23",41.4432762,2.1746238,7,17
328,"C/ VALLESPIR, 194",41.3847113,2.1334379,3,23
329,"AV. SARRIÀ, 163",41.3922355,2.1309272,13,10
330,C/ MUNNÉ  2-6,41.37541,2.1232547,19,10
331,"PG. DE GRÀCIA, 61",41.393062,2.1633226,16,17
332,"C/ 60, NÚMERO 25",41.3467746,2.1436235,11,32
333,PG. DE COLOM (VIA LAIETANA),41.380628,2.1821917,14,17
334,"C/ JOHN MAYNARD KEYNES, 2 | AV. DIAGONAL",41.3862258,2.1168609,8,33
335,"AV. JOSEP VICENÇ FOIX, 63",41.3977227,2.1194557,19,17
336,"C/ TORRENT DE L'OLLA, 11",41.3989713,2.1606736,1,25
337,"C/ FÍGOLS, 1",41.3812979,2.1289917,8,16
338,"C/ DOS DE MAIG, 230-232",41.4071692,2.1820722,14,2
339,"C/ VILLENA, 1",41.38860659692564,2.1921945084594707,14,40
340,"C/ ELISA, 1",41.4052698,2.1420204,4,12
341,"C/ ARTESA DE SEGRE, 2",41.402988,2.1344691,15,11
342,"AV. RIO DE JANEIRO, 118",41.442489,2.185727,13,15
343,"C/ PARE MARIANA, 24",41.4306689,2.1456449,9,18
344,"C/ DELS ENAMORATS, 49",41.4040525,2.181199,32,4
345,"C/ NÀPOLS, 344",41.4054458,2.1663172,16,8
346,"C/ VILAMARÍ, 85",41.3807072,2.1468381,11,14
347,"C/ DIPUTACIÓ, 200",41.3857425,2.1610515,0,25
348,CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE,41.4389609,2.1996179,10,17
349,"C/ SANT ADRIÀ, 2-8",41.433934,2.1896502,10,13
350,"C/ VILADOMAT, 244",41.3875712,2.1469336,30,1
351,"C/ BALMES, 409",41.4074131,2.1381069,6,25
352,"C/ REUS, 23",41.4050074,2.134603,2,20
353,"C/ ESTEVE TERRADAS, 42",41.4144967,2.1402433,2,23
354,"PTGE. MALUQUER, 16",41.4095489,2.1360313,1,25
355,"C/ SANCHO DE ÁVILA, 60-64",41.3987543,2.1902116,12,15
356,"C/ ALMOGÀVERS, 63",41.3943033,2.1860256,19,6
357,"C/ MONTMANY, 1",41.4035608,2.1609345,0,25
358,"VIA FAVÈNCIA, 47",41.4418604,2.1664224,11,12
359,"C/ RAMON TRIAS FARGAS, 23",41.3889972,2.1923283,17,21
360,"PG. FABRA I PUIG, 449",41.4388644,2.1657506,7,23
