,Bike Stop #,name,distance,venue_type
445,353,Museo Minerales Colegio la Salle Bonanova,46,Science Museum
446,354,,,[]
447,355,,,[]
448,356,,,[]
449,357,Gas Natural Fenosa,153,Art Museum
450,358,,,[]
451,359,,,[]
452,360,,,[]
453,361,,,[]
454,362,,,[]
455,363,Museu Casa Verdaguer,48,Museum
456,364,Museo de Cera de Barcelona - MUCESA,119,Art Museum
457,364,Museo Marítimo de Barcelona,142,Art Museum
458,364,Wax museum,113,Art Museum
459,364,Restaurante del Museo Marítimo,192,Museum
460,364,Arts Santa Mònica,22,Art Gallery
461,365,,,[]
462,366,Museo de Cera de Barcelona - MUCESA,157,Art Museum
463,366,Wax museum,115,Art Museum
464,366,Galería Ferrán Cano,835,Art Gallery
465,366,Arts Santa Mònica,159,Art Gallery
466,367,Espai Alchemika,182,Art Museum
467,368,,,[]
468,369,Gerard Ribó Tantric Master,104,Erotic Museum
469,369,Museo geológico del Seminario de Barcelona,188,Science Museum
470,370,,,[]
471,371,Convent de Sant Agustí,169,Museum
472,371,Gas Natural Fenosa,129,Art Museum
473,372,,,[]
474,373,,,[]
475,374,,,[]
476,375,Futbol Club Barcelona,195,Museum
477,376,,,[]
478,377,,,[]
479,378,,,[]
480,379,Museu de la Farmàcia Catalana,109,Science Museum
481,380,Museu Blau,62,History Museum
482,381,Teatre Museu el Rei de la Màgia,129,Art Museum
483,381,Museo Magic World,190,Museum
484,382,,,[]
485,383,,,[]
486,384,,,[]
487,385,,,[]
488,386,,,[]
489,387,,,[]
490,388,,,[]
491,389,,,[]
492,390,,,[]
493,391,,,[]
494,392,,,[]
495,393,,,[]
496,394,,,[]
497,395,Museo Adidas & Messi,135,Museum
498,396,,,[]
499,397,,,[]
500,398,,,[]
501,399,,,[]
502,400,,,[]
503,401,,,[]
504,402,Real Academia de Bellas Artés de San Jorge,86,Art Museum
505,403,,,[]
506,404,Museu Frederic Marès,77,Museum
507,404,The Gaudí Exhibition Center,88,Art Museum
508,404,Museu Diocesà de Barcelona,75,History Museum
509,404,Museu d'Història de Barcelona,140,History Museum
510,404,Museo Diocesano de Barcelona,71,History Museum
511,404,Casa Dels Entremesos,117,Museum
512,404,Museo Dalí Escultor. Edificio Real Círculo Artístico,189,Museum
513,404,Reial Cercle Artístic de Barcelona,189,Concert Hall
514,405,,,[]
515,406,,,[]
516,407,,,[]
517,408,,,[]
518,409,,,[]
519,410,,,[]
520,411,,,[]
521,412,,,[]
522,413,,,[]
523,414,Museo Marítimo de Barcelona,185,Art Museum
524,414,Arts Santa Mònica,175,Art Gallery
525,415,,,[]
526,416,,,[]
527,417,Santería Milagrosa,51,Art Museum
528,418,,,[]
529,419,,,[]
530,420,Museo Adidas & Messi,162,Museum
531,421,Museu de la Música,194,History Museum
532,422,,,[]
533,423,Museo geológico del Seminario de Barcelona,63,Science Museum
